date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
28-06-2022,26-06-2022,Films (English),Hustle,3,3,26050000.0,7.9,106
26-04-2022,24-04-2022,TV (Non-English),Heirs to the Land: Season 1,5,2,18840000.0,7.0,60
14-06-2022,12-06-2022,Films (English),A Perfect Pairing,6,4,7130000.0,6.1,101
28-06-2022,26-06-2022,Films (English),The Man from Toronto,1,1,53890000.0,5.7,110
12-04-2022,10-04-2022,Films (Non-English),Furioza,1,1,23960000.0,6.3,139
21-06-2022,19-06-2022,Films (Non-English),CBI 5: The Brain,4,2,6090000.0,7.0,125
03-05-2022,01-05-2022,TV (English),The Ultimatum: Marry or Move On: Season 1,8,4,13140000.0,5.4,60
03-05-2022,01-05-2022,Films (English),The Mystery of Marilyn Monroe: The Unheard Tapes,3,1,15360000.0,6.2,101
03-05-2022,01-05-2022,TV (English),Bridgerton: Season 2,4,6,29740000.0,7.3,60
21-06-2022,19-06-2022,Films (English),A Perfect Pairing,9,5,4440000.0,6.1,101
12-04-2022,10-04-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",6,18,10590000.0,8.2,30
28-06-2022,26-06-2022,Films (Non-English),Doom of Love,5,1,5920000.0,7.0,125
10-05-2022,08-05-2022,TV (Non-English),Our Blues: Season 1,6,2,10370000.0,8.3,60
19-04-2022,17-04-2022,Films (English),The In Between,1,2,35900000.0,5.8,115
17-05-2022,15-05-2022,TV (English),Grace and Frankie: Season 7,6,3,12260000.0,8.2,30
14-06-2022,12-06-2022,TV (English),Stranger Things 2,2,3,51420000.0,8.7,51
17-05-2022,15-05-2022,Films (Non-English),The Getaway King,8,1,3240000.0,7.0,125
14-06-2022,12-06-2022,TV (Non-English),Wrong Side of the Tracks: Season 1,1,4,19400000.0,7.0,60
17-05-2022,15-05-2022,Films (Non-English),The Perfect Family,2,1,21590000.0,7.0,125
26-04-2022,24-04-2022,TV (Non-English),The Marked Heart: Season 1,1,1,68040000.0,7.0,60
14-06-2022,12-06-2022,TV (Non-English),"Malverde, El Santo Patron",6,1,12370000.0,7.0,60
05-04-2022,03-04-2022,TV (English),Is It Cake?: Season 1,3,2,26510000.0,5.7,40
21-06-2022,19-06-2022,Films (English),Chickenhare and the Hamster of Darkness,3,2,23750000.0,7.0,106
24-05-2022,22-05-2022,TV (Non-English),My Liberation Notes: Season 1,9,1,9929132.0,7.0,60
31-05-2022,29-05-2022,Films (Non-English),Toolsidas Junior,10,1,2960000.0,7.5,132
10-05-2022,08-05-2022,Films (Non-English),The Takedown,1,1,27090000.0,7.0,125
14-06-2022,12-06-2022,Films (Non-English),F*ck Love Too,7,4,2010000.0,7.0,125
07-06-2022,05-06-2022,TV (Non-English),The Perfect Mother: Season 1,5,1,12090000.0,6.0,92
12-04-2022,10-04-2022,Films (English),Enough,7,1,5790000.0,5.8,115
19-04-2022,17-04-2022,TV (Non-English),Elite: Season 1,9,2,10110000.0,7.4,60
05-04-2022,03-04-2022,TV (English),PIECES OF HER: Season 1,7,5,16220000.0,6.6,52
26-04-2022,24-04-2022,Films (English),The Vault,8,2,6620000.0,6.4,91
21-06-2022,19-06-2022,TV (English),Stranger Things 3,4,4,38900000.0,8.7,51
03-05-2022,01-05-2022,TV (Non-English),Hold Tight: Limited Series,2,2,25120000.0,7.0,60
28-06-2022,26-06-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",3,28,12570000.0,8.2,30
21-06-2022,19-06-2022,Films (English),Interceptor,5,3,13110000.0,7.0,106
12-04-2022,10-04-2022,Films (English),Shrek,9,5,5340000.0,6.6,106
21-06-2022,19-06-2022,Films (Non-English),Centauro,2,1,13870000.0,7.0,125
19-04-2022,17-04-2022,TV (English),Bridgerton: Season 2,1,4,66610000.0,7.3,60
28-06-2022,26-06-2022,Films (Non-English),RRR (Hindi),7,6,2920000.0,7.0,125
05-04-2022,03-04-2022,TV (Non-English),The Queen of Flow: Season 2,9,16,6640000.0,7.9,60
03-05-2022,01-05-2022,TV (English),Bridgerton: Season 1,9,6,12130000.0,7.3,60
12-04-2022,10-04-2022,Films (Non-English),All Hail,2,2,13300000.0,7.0,125
31-05-2022,29-05-2022,Films (Non-English),Gangubai Kathiawadi,7,5,4840000.0,7.0,152
19-04-2022,17-04-2022,TV (Non-English),Heirs to the Land: Season 1,4,1,11810000.0,7.0,60
26-04-2022,24-04-2022,TV (English),Our Great National Parks: Limited Series,10,2,11780000.0,7.7,50
21-06-2022,19-06-2022,TV (Non-English),Wrong Side of the Tracks: Season 1,7,5,9680000.0,7.0,60
28-06-2022,26-06-2022,TV (English),The Umbrella Academy: Season 3,1,1,124530000.0,8.0,60
05-04-2022,03-04-2022,TV (English),Bridgerton: Season 2,1,2,251740000.0,7.3,60
31-05-2022,29-05-2022,Films (English),Jackass 4.5,3,2,18540000.0,6.6,90
