date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
28-06-2022,26-06-2022,Films (English),Hustle,3,3,26050000,7.9,
26-04-2022,24-04-2022,TV (Non-English),Heirs to the Land: Season 1,5,2,18840000,,
14-06-2022,12-06-2022,Films (English),A Perfect Pairing,6,4,7130000,6.1,101
28-06-2022,26-06-2022,Films (English),The Man from Toronto,1,1,53890000,5.7,110
12-04-2022,10-04-2022,Films (Non-English),Furioza,1,1,23960000,6.3,139
21-06-2022,19-06-2022,Films (Non-English),CBI 5: The Brain,4,2,6090000,,
03-05-2022,01-05-2022,TV (English),The Ultimatum: Marry or Move On: Season 1,8,4,13140000,5.4,60
03-05-2022,01-05-2022,Films (English),The Mystery of Marilyn Monroe: The Unheard Tapes,3,1,15360000,6.2,101
03-05-2022,01-05-2022,TV (English),Bridgerton: Season 2,4,6,29740000,7.3,60
21-06-2022,19-06-2022,Films (English),A Perfect Pairing,9,5,4440000,6.1,101
12-04-2022,10-04-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",6,18,10590000,8.2,30
28-06-2022,26-06-2022,Films (Non-English),Doom of Love,5,1,5920000,,
10-05-2022,08-05-2022,TV (Non-English),Our Blues: Season 1,6,2,10370000,8.3,60
19-04-2022,17-04-2022,Films (English),The In Between,1,2,35900000,5.8,115
17-05-2022,15-05-2022,TV (English),Grace and Frankie: Season 7,6,3,12260000,8.2,30
14-06-2022,12-06-2022,TV (English),Stranger Things 2,2,3,51420000,8.7,51
17-05-2022,15-05-2022,Films (Non-English),The Getaway King,8,1,3240000,,
14-06-2022,12-06-2022,TV (Non-English),Wrong Side of the Tracks: Season 1,1,4,19400000,,
17-05-2022,15-05-2022,Films (Non-English),The Perfect Family,2,1,21590000,,
26-04-2022,24-04-2022,TV (Non-English),The Marked Heart: Season 1,1,1,68040000,,
14-06-2022,12-06-2022,TV (Non-English),"Malverde, El Santo Patron",6,1,12370000,,
05-04-2022,03-04-2022,TV (English),Is It Cake?: Season 1,3,2,26510000,5.7,40
21-06-2022,19-06-2022,Films (English),Chickenhare and the Hamster of Darkness,3,2,23750000,,
24-05-2022,22-05-2022,TV (Non-English),My Liberation Notes: Season 1,9,1,,,
31-05-2022,29-05-2022,Films (Non-English),Toolsidas Junior,10,1,2960000,7.5,132
10-05-2022,08-05-2022,Films (Non-English),The Takedown,1,1,27090000,,
14-06-2022,12-06-2022,Films (Non-English),F*ck Love Too,7,4,2010000,,
07-06-2022,05-06-2022,TV (Non-English),The Perfect Mother: Season 1,5,1,12090000,6,92
12-04-2022,10-04-2022,Films (English),Enough,7,1,5790000,5.8,115
19-04-2022,17-04-2022,TV (Non-English),Elite: Season 1,9,2,10110000,7.4,60
05-04-2022,03-04-2022,TV (English),PIECES OF HER: Season 1,7,5,16220000,6.6,52
26-04-2022,24-04-2022,Films (English),The Vault,8,2,6620000,6.4,91
21-06-2022,19-06-2022,TV (English),Stranger Things 3,4,4,38900000,8.7,51
03-05-2022,01-05-2022,TV (Non-English),Hold Tight: Limited Series,2,2,25120000,,
28-06-2022,26-06-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",3,28,12570000,8.2,30
21-06-2022,19-06-2022,Films (English),Interceptor,5,3,13110000,,
12-04-2022,10-04-2022,Films (English),Shrek,9,5,5340000,6.6,30
21-06-2022,19-06-2022,Films (Non-English),Centauro,2,1,13870000,,
19-04-2022,17-04-2022,TV (English),Bridgerton: Season 2,1,4,66610000,7.3,60
28-06-2022,26-06-2022,Films (Non-English),RRR (Hindi),7,6,2920000,,
05-04-2022,03-04-2022,TV (Non-English),The Queen of Flow: Season 2,9,16,6640000,7.9,60
03-05-2022,01-05-2022,TV (English),Bridgerton: Season 1,9,6,12130000,7.3,60
12-04-2022,10-04-2022,Films (Non-English),All Hail,2,2,13300000,,
31-05-2022,29-05-2022,Films (Non-English),Gangubai Kathiawadi,7,5,4840000,7,152
19-04-2022,17-04-2022,TV (Non-English),Heirs to the Land: Season 1,4,1,11810000,,
26-04-2022,24-04-2022,TV (English),Our Great National Parks: Limited Series,10,2,11780000,7.7,50
21-06-2022,19-06-2022,TV (Non-English),Wrong Side of the Tracks: Season 1,7,5,9680000,,
28-06-2022,26-06-2022,TV (English),The Umbrella Academy: Season 3,1,1,124530000,8,60
05-04-2022,03-04-2022,TV (English),Bridgerton: Season 2,1,2,251740000,7.3,60
31-05-2022,29-05-2022,Films (English),Jackass 4.5,3,2,18540000,6.6,90
14-06-2022,12-06-2022,TV (English),All American: Season 4,9,2,26690000,7.6,45
17-05-2022,15-05-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",10,23,9440000,8.2,30
03-05-2022,01-05-2022,TV (Non-English),Twenty Five Twenty One: Season 1,9,10,9580000,8.9,70
24-05-2022,22-05-2022,Films (Non-English),Toscana,1,1,,5.8,90
14-06-2022,12-06-2022,Films (English),The Amazing Spider-Man,4,2,8440000,6.9,136
05-04-2022,03-04-2022,Films (Non-English),Black Crab,2,3,11270000,,
07-06-2022,05-06-2022,Films (English),A Perfect Pairing,2,3,14410000,6.1,101
19-04-2022,17-04-2022,Films (Non-English),Fack ju Göhte 3,9,1,2400000,,
28-06-2022,26-06-2022,Films (Non-English),Through My Window,10,13,1500000,5.5,116
03-05-2022,01-05-2022,Films (Non-English),Bubble,3,1,4450000,,
28-06-2022,26-06-2022,TV (English),Stranger Things 4,2,5,76910000,8.7,51
03-05-2022,01-05-2022,Films (Non-English),Furioza,5,4,2620000,6.3,139
21-06-2022,19-06-2022,TV (Non-English),Squid Game: Season 1,10,20,7480000,8,55
26-04-2022,24-04-2022,Films (English),Cleaner,10,2,4920000,6.1,88
03-05-2022,01-05-2022,Films (Non-English),Yaksha: Ruthless Operations,6,4,2520000,6.2,125
12-04-2022,10-04-2022,Films (Non-English),Enforcement,7,1,4020000,,
10-05-2022,08-05-2022,Films (English),365 Days,10,2,6290000,3.3,114
31-05-2022,29-05-2022,TV (English),"Love, Death & Robots: Volume 3",8,2,15390000,8.4,15
28-06-2022,26-06-2022,Films (Non-English),Bhool Bhulaiyaa 2,1,2,12290000,6.1,143
12-04-2022,10-04-2022,TV (English),Bridgerton: Season 1,3,3,35760000,7.3,60
07-06-2022,05-06-2022,Films (English),Disappearance at Clifton Hill,7,1,8670000,5.5,100
12-04-2022,10-04-2022,TV (Non-English),Thirty-Nine: Season 1,7,5,9040000,7.9,60
28-06-2022,26-06-2022,Films (Non-English),Centauro,4,2,6510000,,
12-04-2022,10-04-2022,TV (English),The Ultimatum: Marry or Move On: Season 1,2,1,43710000,5.4,60
24-05-2022,22-05-2022,TV (Non-English),Who Killed Sara?: Season 3,1,1,,6.5,
12-04-2022,10-04-2022,Films (English),Four Brothers,6,1,8170000,6.8,109
21-06-2022,19-06-2022,TV (English),Keep Sweet: Pray and Obey: Limited Series,7,2,27640000,7.4,192
24-05-2022,22-05-2022,TV (Non-English),Tomorrow: Season 1,7,2,,7.6,60
17-05-2022,15-05-2022,Films (Non-English),40 Years Young,9,2,2840000,,
03-05-2022,01-05-2022,Films (English),365 Days,4,1,10040000,3.3,114
14-06-2022,12-06-2022,Films (Non-English),Don,3,1,3640000,7.2,175
07-06-2022,05-06-2022,Films (Non-English),Jana Gana Mana,8,1,2230000,8.3,162
31-05-2022,29-05-2022,Films (Non-English),Jersey,5,2,5490000,7.3,170
10-05-2022,08-05-2022,TV (Non-English),Welcome to Eden: Season 1,2,1,25820000,,
17-05-2022,15-05-2022,Films (Non-English),The Takedown,1,2,32370000,,
